ano,1.1. Reduzível pelas ações de imunização,1.2.1 Reduzíveis atenção à mulher na gestação,1.2.2 Reduz por adequada atenção à mulher no parto,1.2.3 Reduzíveis adequada atenção ao recém-nascido,1.3. Reduz ações diagnóstico e tratamento adequado,1.4. Reduz. ações promoção vinc. ações de atenção,2. Causas mal definidas
1996,2.0,59.0,10.0,157.0,14.0,7.0,19.0
1997,2.0,64.0,11.0,192.0,7.0,8.0,12.0
1998,1.0,91.0,17.0,127.0,12.0,6.0,14.0
1999,0.0,78.0,30.0,141.0,18.0,3.0,10.0
2000,0.0,93.0,19.0,104.0,14.0,2.0,13.0
2001,0.0,56.0,16.0,100.0,5.0,2.0,8.0
2002,0.0,67.0,13.0,68.0,10.0,3.0,14.0
2003,0.0,52.0,19.0,94.0,12.0,2.0,15.0
2004,0.0,61.0,16.0,85.0,3.0,1.0,7.0
2005,0.0,75.0,18.0,87.0,7.0,2.0,8.0
2006,0.0,44.0,15.0,67.0,3.0,5.0,7.0
2007,0.0,55.0,14.0,56.0,4.0,1.0,6.0
2008,0.0,69.0,15.0,63.0,3.0,5.0,8.0
2009,0.0,68.0,9.0,53.0,0.0,4.0,7.0
2010,1.0,53.0,11.0,40.0,3.0,2.0,6.0
2011,0.0,62.0,11.0,33.0,6.0,0.0,3.0
2012,3.0,75.0,20.0,37.0,6.0,6.0,4.0
2013,0.0,74.0,22.0,47.0,7.0,1.0,3.0
2014,0.0,62.0,20.0,40.0,2.0,1.0,4.0
2015,0.0,73.0,18.0,51.0,4.0,0.0,7.0
2016,0.0,71.0,8.0,36.0,4.0,9.0,3.0
2017,0.0,60.0,18.0,52.0,4.0,6.0,5.0
2018,0.0,66.0,24.0,34.0,1.0,3.0,2.0
2019,0.0,59.0,14.0,48.0,6.0,6.0,1.0
2020,0.0,79.0,19.0,32.0,4.0,5.0,10.0
2021,0.0,61.0,17.0,46.0,3.0,7.0,2.0
2022,0.0,42.0,10.0,33.0,2.0,3.0,0.0
2023,0.0,54.0,16.0,40.0,2.0,6.0,2.0
2024,0.0,53.0,10.0,15.0,2.0,6.0,3.0
2025,0.0,64.0,11.0,20.0,3.0,1.0,0.0
