ano,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis)
1996,249.0,19.0,57.0
1997,284.0,12.0,54.0
1998,254.0,14.0,46.0
1999,270.0,10.0,63.0
2000,232.0,13.0,61.0
2001,179.0,8.0,54.0
2002,161.0,14.0,45.0
2003,179.0,15.0,60.0
2004,166.0,7.0,66.0
2005,189.0,8.0,54.0
2006,134.0,7.0,38.0
2007,130.0,6.0,42.0
2008,155.0,8.0,52.0
2009,134.0,7.0,47.0
2010,110.0,6.0,56.0
2011,112.0,3.0,52.0
2012,147.0,4.0,50.0
2013,151.0,3.0,45.0
2014,125.0,4.0,55.0
2015,146.0,7.0,47.0
2016,128.0,3.0,40.0
2017,140.0,5.0,38.0
2018,128.0,2.0,62.0
2019,133.0,1.0,48.0
2020,139.0,10.0,54.0
2021,134.0,2.0,42.0
2022,90.0,0.0,42.0
2023,118.0,2.0,40.0
2024,86.0,3.0,48.0
2025,99.0,0.0,42.0
